"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ C05 _ Right _ 2",34.5195824444619,-263.907923414625,-2483.14992610184,66.210943802184,-245.943766036283,-2548.26762711134
"OPTOTRAK _ C05 _ Right _ 2",34.5135896616709,-263.924005785869,-2483.15939579818,66.2119796065053,-245.970566191889,-2548.28627212817
"OPTOTRAK _ C05 _ Right _ 2",34.5101315343871,-263.942950777615,-2483.17215441478,66.2137992700596,-246.00281050401,-2548.30956604736
"OPTOTRAK _ C05 _ Right _ 2",34.5103031585443,-263.96421269999,-2483.18823808527,66.2166567081785,-246.039317010175,-2548.33674282509
"OPTOTRAK _ C05 _ Right _ 2",34.5144691086091,-263.987408894544,-2483.20753618133,66.2207235864659,-246.078874235398,-2548.36684709539
"OPTOTRAK _ C05 _ Right _ 2",34.5220597727532,-264.012385209178,-2483.2297915811,66.2260152649926,-246.120413234439,-2548.39884917802
"OPTOTRAK _ C05 _ Right _ 2",34.5316453277388,-264.039084340548,-2483.25453911188,66.2323654754927,-246.162956179134,-2548.43163664927
"OPTOTRAK _ C05 _ Right _ 2",34.5413065035411,-264.067251624742,-2483.28099475623,66.2394955291296,-246.205399107735,-2548.46393802621
"OPTOTRAK _ C05 _ Right _ 2",34.5492111412529,-264.096118372909,-2483.30796140176,66.2471814323,-246.246305001005,-2548.49430289013
"OPTOTRAK _ C05 _ Right _ 2",34.5542129651587,-264.124255903689,-2483.33384639345,66.255458137168,-246.28389326629,-2548.52123056455
"OPTOTRAK _ C05 _ Right _ 2",34.556256813201,-264.149746697626,-2483.35686328958,66.2647511546353,-246.316307739549,-2548.54343940952
"OPTOTRAK _ C05 _ Right _ 2",34.5564225502754,-264.170676782953,-2483.37541003085,66.2758221156501,-246.342093036218,-2548.56017973914
"OPTOTRAK _ C05 _ Right _ 2",34.5565522047368,-264.185784419115,-2483.38851286672,66.2894677996227,-246.36069074082,-2548.57146341785
"OPTOTRAK _ C05 _ Right _ 2",34.5585437209535,-264.194996849457,-2483.39615876226,66.3060103537604,-246.372733639263,-2548.57810716459
"OPTOTRAK _ C05 _ Right _ 2",34.5635181422844,-264.19960654675,-2483.39935369102,66.3247263492346,-246.379978318891,-2548.58154106127
"OPTOTRAK _ C05 _ Right _ 2",34.5711347263851,-264.201975056352,-2483.39984388402,66.3434381428592,-246.384852021375,-2548.58340796502
"OPTOTRAK _ C05 _ Right _ 2",34.5793103548134,-264.204845117512,-2483.39957940602,66.3584916407025,-246.389748133264,-2548.58506323307
"OPTOTRAK _ C05 _ Right _ 2",34.5844927339995,-264.210503632685,-2483.40011433186,66.3652515975396,-246.396319568707,-2548.58714615474
"OPTOTRAK _ C05 _ Right _ 2",34.5824708647456,-264.220099582396,-2483.40216772321,66.3590786020501,-246.405039274259,-2548.58939692763
"OPTOTRAK _ C05 _ Right _ 2",34.5695299397569,-264.233362032712,-2483.40550550622,66.3365684637461,-246.415210632664,-2548.59082299218
"OPTOTRAK _ C05 _ Right _ 2",34.5436249342136,-264.248814040572,-2483.40918191065,66.2967066895054,-246.42544446354,-2548.59019478475
"OPTOTRAK _ C05 _ Right _ 2",34.5052070119513,-264.264396354938,-2483.41204934896,66.2415711311178,-246.434429444202,-2548.58671358765
"OPTOTRAK _ C05 _ Right _ 2",34.4574176560605,-264.278265077334,-2483.41334676464,66.1763166496637,-246.441685273025,-2548.58059720644
"OPTOTRAK _ C05 _ Right _ 2",34.4055509585469,-264.289466100093,-2483.41313864478,66.1083649712648,-246.447972119068,-2548.5733233424
"OPTOTRAK _ C05 _ Right _ 2",34.3559112098639,-264.298243013782,-2483.41241903039,66.0459437528769,-246.455157041457,-2548.56737504194
"OPTOTRAK _ C05 _ Right _ 2",34.3143810015272,-264.305882656545,-2483.41281347105,65.9963161073663,-246.465560737728,-2548.56552038388
"OPTOTRAK _ C05 _ Right _ 2",34.2851069189578,-264.314178109998,-2483.41597323616,65.9641701921888,-246.481028762018,-2548.5698599405
"OPTOTRAK _ C05 _ Right _ 2",34.2696820573019,-264.324718240814,-2483.42289696764,65.950649078947,-246.502090041226,-2548.58099912119
"OPTOTRAK _ C05 _ Right _ 2",34.2670590333326,-264.338254798301,-2483.43346265686,65.9533496670391,-246.527531693146,-2548.59767821946
"OPTOTRAK _ C05 _ Right _ 2",34.2741955230559,-264.354357608479,-2483.44637193414,65.9673173429616,-246.554557940449,-2548.61702088702
"OPTOTRAK _ C05 _ Right _ 2",34.2871918094785,-264.371471269971,-2483.45953658522,65.9867145979646,-246.579490956238,-2548.6353234529
"OPTOTRAK _ C05 _ Right _ 2",34.302525074316,-264.387356170511,-2483.47076146852,66.0066016786995,-246.598792921701,-2548.64911622489
"OPTOTRAK _ C05 _ Right _ 2",34.317981820094,-264.399761518132,-2483.47847425442,66.0242460438322,-246.610087857126,-2548.65615455797
"OPTOTRAK _ C05 _ Right _ 2",34.3330270886144,-264.407086010201,-2483.48224686961,66.0395768004338,-246.612856991839,-2548.65604225417
"OPTOTRAK _ C05 _ Right _ 2",34.3485591789834,-264.408782138411,-2483.48293324712,66.0547223902842,-246.608578490797,-2548.65031493101
"OPTOTRAK _ C05 _ Right _ 2",34.3662011387923,-264.405366813921,-2483.48238401488,66.0728774262916,-246.60026432602,-2548.64197630809
"OPTOTRAK _ C05 _ Right _ 2",34.3874124958088,-264.39807035307,-2483.48284872695,66.0969282584898,-246.591553777938,-2548.63464245564
"OPTOTRAK _ C05 _ Right _ 2",34.4127302967451,-264.3883047871,-2483.48628234573,66.1282823934026,-246.585668594079,-2548.63155629287
"OPTOTRAK _ C05 _ Right _ 2",34.4413654971491,-264.377189308227,-2483.49378775801,66.1662170581508,-246.584560899907,-2548.63475184262
"OPTOTRAK _ C05 _ Right _ 2",34.4712295301736,-264.365318473098,-2483.50535180775,66.2078582787656,-246.58849431196,-2548.64458033715
"OPTOTRAK _ C05 _ Right _ 2",34.4993171730082,-264.352835395956,-2483.51991964252,66.2487133850818,-246.596141267789,-2548.65969456581
"OPTOTRAK _ C05 _ Right _ 2",34.5222865965248,-264.339738380099,-2483.53575574066,66.283569593353,-246.605118267486,-2548.67746439318
"OPTOTRAK _ C05 _ Right _ 2",34.5370708362382,-264.326258973986,-2483.55097745795,66.3075407648491,-246.612766025218,-2548.69469450988
"OPTOTRAK _ C05 _ Right _ 2",34.5413985059452,-264.313131899362,-2483.56410867724,66.3170533208057,-246.616938247674,-2548.7084517599
"OPTOTRAK _ C05 _ Right _ 2",34.5341573391194,-264.30162988226,-2483.57448819281,66.3105857437543,-246.616586436882,-2548.716789665
"OPTOTRAK _ C05 _ Right _ 2",34.5155813976538,-264.293328628155,-2483.58239974234,66.2890255959209,-246.611995229415,-2548.71918185767
"OPTOTRAK _ C05 _ Right _ 2",34.4872753390386,-264.289660875068,-2483.58887619056,66.2555926107752,-246.604611607501,-2548.71654502443
"OPTOTRAK _ C05 _ Right _ 2",34.4520995492308,-264.291387963061,-2483.59524273977,66.2153690697458,-246.596512428174,-2548.71084349072
"OPTOTRAK _ C05 _ Right _ 2",34.4139231728292,-264.298151635551,-2483.60255598261,66.174538618509,-246.589657227523,-2548.70439772264
"OPTOTRAK _ C05 _ Right _ 2",34.3772253193014,-264.308260951072,-2483.61112872427,66.1394517619047,-246.585149576233,-2548.69911855763
"OPTOTRAK _ C05 _ Right _ 2",34.3465251487041,-264.318816041231,-2483.620293673,66.1156367718805,-246.582746502035,-2548.69591222927
"OPTOTRAK _ C05 _ Right _ 2",34.3256715998144,-264.326184401595,-2483.62847323434,66.106885717479,-246.580795955918,-2548.69443747578
"OPTOTRAK _ C05 _ Right _ 2",34.3171053212918,-264.326753652988,-2483.6335305015,66.1145636253369,-246.576660728517,-2548.69327451366
"OPTOTRAK _ C05 _ Right _ 2",34.3212729428279,-264.317809132364,-2483.63331232946,66.1372857551419,-246.567538812555,-2548.69043700676
"OPTOTRAK _ C05 _ Right _ 2",34.3363827080996,-264.298333763279,-2483.62626019176,66.1710597010646,-246.551457124849,-2548.68406452107
"OPTOTRAK _ C05 _ Right _ 2",34.3586201643292,-264.269513755664,-2483.61194381806,66.2098997469547,-246.528138451168,-2548.67308947575
"OPTOTRAK _ C05 _ Right _ 2",34.3828107122134,-264.234778254017,-2483.59137101553,66.2468176709927,-246.499453234597,-2548.65767923149
"OPTOTRAK _ C05 _ Right _ 2",34.4033761127135,-264.199308394034,-2483.56696510948,66.2750060357396,-246.469276429291,-2548.63931306043
"OPTOTRAK _ C05 _ Right _ 2",34.4153438068823,-264.169089940596,-2483.54218180709,66.2889768598446,-246.44274241272,-2548.62045897403
"OPTOTRAK _ C05 _ Right _ 2",34.4151585757769,-264.149706256768,-2483.52083345077,66.2854112765598,-246.425067159093,-2548.60393424489
"OPTOTRAK _ C05 _ Right _ 2",34.4011058567526,-264.14514206149,-2483.50626749126,66.2635202850855,-246.420233826452,-2548.59212305608
"OPTOTRAK _ C05 _ Right _ 2",34.3732626385934,-264.156881389302,-2483.50058898779,66.2248179943823,-246.429890691556,-2548.58626342243
"OPTOTRAK _ C05 _ Right _ 2",34.3330250004256,-264.183531905304,-2483.50411940953,66.1723615060718,-246.452780182749,-2548.58600586108
"OPTOTRAK _ C05 _ Right _ 2",34.2823916541341,-264.221094339159,-2483.51524546461,66.1096812003126,-246.484899266995,-2548.58939114518
"OPTOTRAK _ C05 _ Right _ 2",34.2232639643157,-264.26383795172,-2483.53072981399,66.0397460802395,-246.520395776883,-2548.59329055217
"OPTOTRAK _ C05 _ Right _ 2",34.1570112188546,-264.305578865984,-2483.54643462607,65.9643132098172,-246.552980988415,-2548.59421299869
"OPTOTRAK _ C05 _ Right _ 2",34.0844383694381,-264.341038108158,-2483.55827907236,65.8838747814669,-246.577464136243,-2548.58925384444
"OPTOTRAK _ C05 _ Right _ 2",34.0061273513268,-264.36692466698,-2483.56316735601,65.798190990709,-246.590960324455,-2548.57689564499
