"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ C09 _ Left _ 3",-90.3104211685829,113.13603085412,-2383.43508793509,-12.6391572748286,184.895762798824,-2442.44797766545
"OPTOTRAK _ C09 _ Left _ 3",-90.2778361009392,113.004280567319,-2383.31304937495,-12.6564523783381,184.569710043084,-2442.47097325914
"OPTOTRAK _ C09 _ Left _ 3",-90.2295784512881,112.852980545686,-2383.10883334193,-12.6768313746682,184.142446491054,-2442.48596889736
"OPTOTRAK _ C09 _ Left _ 3",-90.1658903883647,112.69403235693,-2382.80380006623,-12.6992286261773,183.624689220941,-2442.48787710943
"OPTOTRAK _ C09 _ Left _ 3",-90.0883654074574,112.540829917922,-2382.38357436099,-12.7225869755197,183.034400227823,-2442.47264302492
"OPTOTRAK _ C09 _ Left _ 3",-89.9990766226827,112.406572589783,-2381.83994330737,-12.7461328088554,182.393006484766,-2442.43752190644
"OPTOTRAK _ C09 _ Left _ 3",-89.8992471954182,112.303333081667,-2381.17170160433,-12.769587604246,181.72151439237,-2442.38088321992
"OPTOTRAK _ C09 _ Left _ 3",-89.787830747555,112.242006003254,-2380.3841461482,-12.7933049823109,181.037563278103,-2442.30193533503
"OPTOTRAK _ C09 _ Left _ 3",-89.6605550752645,112.232763276696,-2379.48748148776,-12.8183481097771,180.354031642264,-2442.20089249754
"OPTOTRAK _ C09 _ Left _ 3",-89.5099950070093,112.285349448806,-2378.49494975805,-12.8465037693697,179.679246612384,-2442.07983312847
"OPTOTRAK _ C09 _ Left _ 3",-89.3269790497591,112.40862155782,-2377.42162495198,-12.8801867410687,179.018359600083,-2441.94398182396
"OPTOTRAK _ C09 _ Left _ 3",-89.1031337320493,112.609157852993,-2376.28433847446,-12.9221665559511,178.375194974189,-2441.80271485466
"OPTOTRAK _ C09 _ Left _ 3",-88.8338331790655,112.889335161607,-2375.10237628438,-12.9750768537823,177.753895017891,-2441.66949006696
"OPTOTRAK _ C09 _ Left _ 3",-88.5205238537887,113.245724885843,-2373.89791397317,-13.040742753558,177.159904912503,-2441.56020060585
"OPTOTRAK _ C09 _ Left _ 3",-88.1715118703152,113.668736277014,-2372.69508905198,-13.1194670326382,176.60014131054,-2441.49007685192
"OPTOTRAK _ C09 _ Left _ 3",-87.8008044665748,114.144043121712,-2371.51729109716,-13.2095225816862,176.082454404455,-2441.47002767881
"OPTOTRAK _ C09 _ Left _ 3",-87.4252776061202,114.655590939799,-2370.38337325053,-13.3071429617645,175.614667958697,-2441.50387409281
"OPTOTRAK _ C09 _ Left _ 3",-87.0610113836595,115.189241006688,-2369.30437895147,-13.4072031829793,175.203549719668,-2441.58786944436
"OPTOTRAK _ C09 _ Left _ 3",-86.719860437927,115.735770142053,-2368.28239108056,-13.5045216735705,174.854022705275,-2441.71305477589
"OPTOTRAK _ C09 _ Left _ 3",-86.4071570664215,116.292199895094,-2367.31215208281,-13.5954024007609,174.568784886772,-2441.8697046132
"OPTOTRAK _ C09 _ Left _ 3",-86.1210512159285,116.861086871571,-2366.38478288746,-13.6788599128984,174.348303376161,-2442.05207232139
"OPTOTRAK _ C09 _ Left _ 3",-85.8536138092244,117.448063286775,-2365.49209018821,-13.7570509099463,174.190968642817,-2442.26141809274
"OPTOTRAK _ C09 _ Left _ 3",-85.5935464584158,118.058305000132,-2364.62998651152,-13.834729663728,174.093128779611,-2442.50597194282
"OPTOTRAK _ C09 _ Left _ 3",-85.3300372432302,118.692757164288,-2363.80017327531,-13.9178825701466,174.048839105209,-2442.79765952862
"OPTOTRAK _ C09 _ Left _ 3",-85.0568995834859,119.345018428951,-2363.0099223233,-14.0119286275541,174.049429703201,-2443.14658553516
"OPTOTRAK _ C09 _ Left _ 3",-84.7757923563753,119.999771011213,-2362.27028342742,-14.1199651182863,174.083255659737,-2443.55507617785
"OPTOTRAK _ C09 _ Left _ 3",-84.4973628151598,120.63337763984,-2361.59341723283,-14.241540123363,174.136045812257,-2444.01336235321
"OPTOTRAK _ C09 _ Left _ 3",-84.2397410584705,121.216676618404,-2360.9900415101,-14.3723655196936,174.192024589202,-2444.4986437291
"OPTOTRAK _ C09 _ Left _ 3",-84.0247336686752,121.71931687726,-2360.46797697584,-14.5051951941586,174.235593692192,-2444.97829860198
"OPTOTRAK _ C09 _ Left _ 3",-83.8728443851414,122.114563061059,-2360.03227909983,-14.6317444745611,174.253095258588,-2445.41661111843
"OPTOTRAK _ C09 _ Left _ 3",-83.7985269231138,122.383537978731,-2359.68660983033,-14.7451060897502,174.234205836835,-2445.78308683073
"OPTOTRAK _ C09 _ Left _ 3",-83.8068489925715,122.518157393772,-2359.43488948919,-14.8418465782082,174.172774174783,-2446.0598294462
"OPTOTRAK _ C09 _ Left _ 3",-83.8922746061558,122.522243589781,-2359.28233736547,-14.9230453551077,174.067200355684,-2446.24586930319
"OPTOTRAK _ C09 _ Left _ 3",-84.0397646964514,122.410456972244,-2359.23562978754,-14.9939551107109,173.920561130951,-2446.35749660051
"OPTOTRAK _ C09 _ Left _ 3",-84.2278944701244,122.205031189376,-2359.30242895146,-15.0624758777822,173.740563066516,-2446.42487152077
"OPTOTRAK _ C09 _ Left _ 3",-84.4332027536836,121.930984951894,-2359.49046860461,-15.1369764802959,173.539153729405,-2446.48590920657
"OPTOTRAK _ C09 _ Left _ 3",-84.6346530050818,121.611202660699,-2359.80593560905,-15.2240774044448,173.331430112812,-2446.57865726783
"OPTOTRAK _ C09 _ Left _ 3",-84.8170781292553,121.262953267888,-2360.25077274849,-15.3269228982469,173.133533866489,-2446.73345820313
"OPTOTRAK _ C09 _ Left _ 3",-84.9728519301198,120.896778840864,-2360.81917072696,-15.4443307335181,172.959590309045,-2446.96635780805
"OPTOTRAK _ C09 _ Left _ 3",-85.101626344091,120.517579355832,-2361.49452031879,-15.5710310467671,172.818316808033,-2447.27531803113
"OPTOTRAK _ C09 _ Left _ 3",-85.2085449507461,120.126849870237,-2362.24856115986,-15.6989535603079,172.710386162308,-2447.6404334499
"OPTOTRAK _ C09 _ Left _ 3",-85.3016927986467,119.724870677924,-2363.04382616382,-15.8192217398387,172.627639974843,-2448.02836825778
"OPTOTRAK _ C09 _ Left _ 3",-85.3895981447951,119.312138312404,-2363.83903709638,-15.9242860648801,172.554690736719,-2448.39994177845
