"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P77 _ Left _ 2",-286.045357708901,-56.3270947898656,-2575.22636534136,-232.977222434107,-24.5225237613083,-2606.61770988809
"OPTOTRAK _ P77 _ Left _ 2",-286.024540776503,-56.3171031535382,-2575.19847871082,-232.953212735901,-24.5080334460643,-2606.58015457485
"OPTOTRAK _ P77 _ Left _ 2",-286.005977318251,-56.3114497670748,-2575.16116371677,-232.930289420514,-24.5032255791019,-2606.52998093395
"OPTOTRAK _ P77 _ Left _ 2",-285.993287491872,-56.3131308444578,-2575.1165294025,-232.912715144952,-24.5130355381946,-2606.47003495492
"OPTOTRAK _ P77 _ Left _ 2",-285.989523200783,-56.3246793360954,-2575.06799056607,-232.904565405018,-24.541106579561,-2606.4049795363
"OPTOTRAK _ P77 _ Left _ 2",-285.99649385688,-56.3477180098546,-2575.01963989784,-232.908927875587,-24.589124750177,-2606.34052269546
"OPTOTRAK _ P77 _ Left _ 2",-286.014380249434,-56.3826661463333,-2574.97545173313,-232.927302747414,-24.6565592577736,-2606.28237848441
"OPTOTRAK _ P77 _ Left _ 2",-286.041728189013,-56.4286108171281,-2574.9385712787,-232.959321737198,-24.7407547103892,-2606.23520914222
"OPTOTRAK _ P77 _ Left _ 2",-286.075790116228,-56.4833207536683,-2574.91089589705,-233.002798607018,-24.8372277953606,-2606.20178239514
"OPTOTRAK _ P77 _ Left _ 2",-286.113083273741,-56.5433853727681,-2574.89300823769,-233.054051492731,-24.9400478771107,-2606.18250925585
"OPTOTRAK _ P77 _ Left _ 2",-286.149992793072,-56.6044807692057,-2574.88436633193,-233.108412193302,-25.0422763569022,-2606.17543777359
"OPTOTRAK _ P77 _ Left _ 2",-286.183273825505,-56.6617700232465,-2574.88358183786,-233.160841342548,-25.1365158272721,-2606.17668465647
"OPTOTRAK _ P77 _ Left _ 2",-286.210373356165,-56.7104241732876,-2574.88864930355,-233.206574426173,-25.2156184622204,-2606.18120082569
"OPTOTRAK _ P77 _ Left _ 2",-286.22955860365,-56.7462087931235,-2574.89708511147,-233.241717003832,-25.2735220067854,-2606.18370685417
"OPTOTRAK _ P77 _ Left _ 2",-286.239877502624,-56.7660352702392,-2574.90602626857,-233.263693237144,-25.3060684908965,-2606.17961475537
"OPTOTRAK _ P77 _ Left _ 2",-286.240995558758,-56.7683512967477,-2574.91237925542,-233.271454541083,-25.3115870417261,-2606.1657675151
"OPTOTRAK _ P77 _ Left _ 2",-286.232979411872,-56.753272250823,-2574.91309150734,-233.26540364715,-25.2910493627721,-2606.14086247797
"OPTOTRAK _ P77 _ Left _ 2",-286.216131841093,-56.7224376790374,-2574.90556091528,-233.247084332029,-25.2477432209246,-2606.10548424546
"OPTOTRAK _ P77 _ Left _ 2",-286.190985681862,-56.6786711696599,-2574.88812575708,-233.218780737577,-25.1865898644409,-2606.06176888537
"OPTOTRAK _ P77 _ Left _ 2",-286.158495818938,-56.6255687429164,-2574.86051414554,-233.183191768439,-25.1133500276582,-2606.01282585113
"OPTOTRAK _ P77 _ Left _ 2",-286.120342434198,-56.5671179776656,-2574.82410220824,-233.143263373104,-25.033949138141,-2605.96209236847
"OPTOTRAK _ P77 _ Left _ 2",-286.079147515397,-56.50738465396,-2574.7818505921,-233.102123196719,-24.9540250380891,-2605.91275949519
"OPTOTRAK _ P77 _ Left _ 2",-286.038395354605,-56.4502464745071,-2574.73786580567,-233.062970351894,-24.8786588435279,-2605.8673377193
"OPTOTRAK _ P77 _ Left _ 2",-286.001969185236,-56.3991427485922,-2574.69665346055,-233.028800802808,-24.8121891628747,-2605.82738559018
"OPTOTRAK _ P77 _ Left _ 2",-285.973415794127,-56.3568454830101,-2574.66225408517,-233.001977543978,-24.7580511583886,-2605.7934134823
"OPTOTRAK _ P77 _ Left _ 2",-285.955213731368,-56.3253054360406,-2574.63751806279,-232.98379307145,-24.7186642906442,-2605.76495967049
"OPTOTRAK _ P77 _ Left _ 2",-285.948348377788,-56.3056426808177,-2574.62373005946,-232.974229403093,-24.6954415022248,-2605.74079929637
"OPTOTRAK _ P77 _ Left _ 2",-285.952366207375,-56.2983145583715,-2574.62063028799,-232.972066360323,-24.6889753626584,-2605.71920958471
"OPTOTRAK _ P77 _ Left _ 2",-285.965860240784,-56.3034195896062,-2574.62668110083,-232.975354347252,-24.6993861045981,-2605.69820751151
"OPTOTRAK _ P77 _ Left _ 2",-285.987149531128,-56.3210249583696,-2574.63933146255,-232.982118751394,-24.7267281521492,-2605.67570763482
"OPTOTRAK _ P77 _ Left _ 2",-286.014855438415,-56.3513777420367,-2574.65512528475,-232.991061163331,-24.7712881540313,-2605.64960193816
"OPTOTRAK _ P77 _ Left _ 2",-286.048161048642,-56.3948900469354,-2574.66972069562,-233.002006569626,-24.833607635766,-2605.61781554512
"OPTOTRAK _ P77 _ Left _ 2",-286.08670288056,-56.4518623771671,-2574.67806385439,-233.015924352317,-24.9141447989683,-2605.57841826359
"OPTOTRAK _ P77 _ Left _ 2",-286.130199521981,-56.5220035515762,-2574.6749547216,-233.034496883958,-25.0126303235397,-2605.5298503907
"OPTOTRAK _ P77 _ Left _ 2",-286.178008826031,-56.6038907399763,-2574.65604913629,-233.059363871939,-25.1273111753614,-2605.4712457405
"OPTOTRAK _ P77 _ Left _ 2",-286.228799093361,-56.6945575878079,-2574.61906920379,-233.091273181013,-25.2543489427936,-2605.40273876387
"OPTOTRAK _ P77 _ Left _ 2",-286.280432337079,-56.7893783808084,-2574.56478144169,-233.12939094557,-25.3876136543108,-2605.32559202989
"OPTOTRAK _ P77 _ Left _ 2",-286.3300410014,-56.8823348700606,-2574.49726306825,-233.170973301563,-25.5190067921408,-2605.2420221943
"OPTOTRAK _ P77 _ Left _ 2",-286.374209482447,-56.9666441807353,-2574.42316486714,-233.211507830109,-25.6393070916967,-2605.15472271785
"OPTOTRAK _ P77 _ Left _ 2",-286.409196824921,-57.0356393303382,-2574.35004463096,-233.245327569493,-25.739412597525,-2605.06621692367
"OPTOTRAK _ P77 _ Left _ 2",-286.431224338471,-57.0837574674309,-2574.28422598264,-233.266604750748,-25.8117806176265,-2604.97825518742
"OPTOTRAK _ P77 _ Left _ 2",-286.436904642877,-57.1074918303389,-2574.22884831885,-233.270545143072,-25.8518327818838,-2604.89145433654
"OPTOTRAK _ P77 _ Left _ 2",-286.423834510847,-57.1061602930106,-2574.1827334698,-233.254523074336,-25.8590645024993,-2604.80527756701
"OPTOTRAK _ P77 _ Left _ 2",-286.391236794484,-57.0823177205832,-2574.14045305161,-233.21884612105,-25.8375733238571,-2604.71832717134
"OPTOTRAK _ P77 _ Left _ 2",-286.340421547571,-57.0416331115491,-2574.09363949119,-233.166875008424,-25.7957520511782,-2604.62883101344
"OPTOTRAK _ P77 _ Left _ 2",-286.27484383554,-56.9921350141718,-2574.03322969828,-233.104392303265,-25.7450519382404,-2604.53517172987
"OPTOTRAK _ P77 _ Left _ 2",-286.199679645656,-56.9429132559975,-2573.95203790996,-233.038377559245,-25.6980088231975,-2604.43632534588
"OPTOTRAK _ P77 _ Left _ 2",-286.121037501173,-56.9025696693096,-2573.84691512761,-232.975582015748,-25.6660188092721,-2604.33212486074
"OPTOTRAK _ P77 _ Left _ 2",-286.045054055408,-56.8778149248417,-2573.71985276228,-232.921364298237,-25.6574717550889,-2604.2233281858
"OPTOTRAK _ P77 _ Left _ 2",-285.977117398575,-56.8725495718813,-2573.57772354703,-232.879101706346,-25.676707375161,-2604.11152736983
"OPTOTRAK _ P77 _ Left _ 2",-285.921341735895,-56.8875830946744,-2573.43078408926,-232.850214460262,-25.7239261260821,-2603.99896277662
"OPTOTRAK _ P77 _ Left _ 2",-285.880274583643,-56.9209398658099,-2573.2904023668,-232.834592874962,-25.7958569981733,-2603.88829272783
"OPTOTRAK _ P77 _ Left _ 2",-285.854753915708,-56.9685704889342,-2573.16662027137,-232.831124479066,-25.8868221646573,-2603.78233344162
"OPTOTRAK _ P77 _ Left _ 2",-285.843877868394,-57.0252592054322,-2573.06613192707,-232.838093657287,-25.9898739962719,-2603.68375634322
"OPTOTRAK _ P77 _ Left _ 2",-285.845136247698,-57.0855530834498,-2572.99110822646,-232.853385808219,-26.0978162767151,-2603.59473223489
"OPTOTRAK _ P77 _ Left _ 2",-285.854780369052,-57.1445788769419,-2572.9390751506,-232.874563302174,-26.2040369085697,-2603.51654999838
"OPTOTRAK _ P77 _ Left _ 2",-285.868438777612,-57.1986360849359,-2572.90381013744,-232.898932810844,-26.303121444309,-2603.44929886826
"OPTOTRAK _ P77 _ Left _ 2",-285.881875513399,-57.2454821071376,-2572.87700936744,-232.923700049051,-26.391215229376,-2603.39175344702
"OPTOTRAK _ P77 _ Left _ 2",-285.891715006619,-57.2842857559333,-2572.85032778894,-232.946245914943,-26.466113127842,-2603.34159315988
"OPTOTRAK _ P77 _ Left _ 2",-285.895957487056,-57.3153097606228,-2572.81731455523,-232.964485711957,-26.5270997546348,-2603.29599403722
"OPTOTRAK _ P77 _ Left _ 2",-285.894165625642,-57.3394489630382,-2572.77478355456,-232.977208466721,-26.5746130208446,-2603.25247010662
"OPTOTRAK _ P77 _ Left _ 2",-285.887289266695,-57.3577670970497,-2572.7232961962,-232.98426346628,-26.6098284102459,-2603.20969065394
"OPTOTRAK _ P77 _ Left _ 2",-285.877187537188,-57.3711461807054,-2572.66666519974,-232.986495519007,-26.6342585755382,-2603.16795377881
"OPTOTRAK _ P77 _ Left _ 2",-285.86598503567,-57.3801125742003,-2572.61063874435,-232.98542591225,-26.6494464272787,-2603.12909974312
"OPTOTRAK _ P77 _ Left _ 2",-285.85544276027,-57.384850085147,-2572.56113237008,-232.982784057431,-26.6568041274048,-2603.09585581011
"OPTOTRAK _ P77 _ Left _ 2",-285.846521496336,-57.3853594021431,-2572.52250954678,-232.980053433867,-26.6576079339561,-2603.07082068685
"OPTOTRAK _ P77 _ Left _ 2",-285.83925770407,-57.3816805861392,-2572.496426065,-232.978173213737,-26.6530990824824,-2603.05543113799
"OPTOTRAK _ P77 _ Left _ 2",-285.832967596467,-57.374076286097,-2572.4815968083,-232.977453796882,-26.6445890777574,-2603.04926056687
"OPTOTRAK _ P77 _ Left _ 2",-285.826679924603,-57.3630963772537,-2572.47453045967,-232.977676493605,-26.6334676838538,-2603.04988639693
"OPTOTRAK _ P77 _ Left _ 2",-285.819624480696,-57.3495112129,-2572.47092407559,-232.978303690925,-26.6210830890365,-2603.05337616509
