"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P77 _ Right _ 3",88.6442925294304,-376.161900439262,-2542.31675602253,156.388715877642,-319.730782157143,-2553.41983799122
"OPTOTRAK _ P77 _ Right _ 3",88.6317736491931,-376.159406283797,-2542.31643143761,156.355414709807,-319.725303075947,-2553.41257604558
"OPTOTRAK _ P77 _ Right _ 3",88.6252230192374,-376.155638384334,-2542.31703215112,156.323166430388,-319.719097393921,-2553.40360648698
"OPTOTRAK _ P77 _ Right _ 3",88.6268930649791,-376.150176057284,-2542.31839280085,156.295482787305,-319.712310638258,-2553.39324869705
"OPTOTRAK _ P77 _ Right _ 3",88.6372218141613,-376.142348520727,-2542.31981250585,156.274352740044,-319.704890408289,-2553.38186015158
"OPTOTRAK _ P77 _ Right _ 3",88.6543458355022,-376.131179070848,-2542.31998049511,156.259388561955,-319.696539062708,-2553.36975761082
"OPTOTRAK _ P77 _ Right _ 3",88.6742367004833,-376.115436732278,-2542.31705448316,156.247589744306,-319.686764351473,-2553.35717734701
"OPTOTRAK _ P77 _ Right _ 3",88.6914773884119,-376.093827859256,-2542.30891162537,156.233822362135,-319.67501248588,-2553.34425935563
"OPTOTRAK _ P77 _ Right _ 3",88.7004654307698,-376.065314782302,-2542.29354101704,156.211881237049,-319.660828573582,-2553.33100888771
"OPTOTRAK _ P77 _ Right _ 3",88.6966943262448,-376.029498942211,-2542.26949928316,156.175844851202,-319.643979018065,-2553.31719943738
"OPTOTRAK _ P77 _ Right _ 3",88.6777669342483,-375.986967197481,-2542.23632618971,156.121380928363,-319.62449593363,-2553.30223948388
"OPTOTRAK _ P77 _ Right _ 3",88.6438977066215,-375.939490529354,-2542.19482410311,156.046695246391,-319.602650652571,-2553.285096016
"OPTOTRAK _ P77 _ Right _ 3",88.5978034488517,-375.889991008161,-2542.14713452129,155.952910338416,-319.578902748905,-2553.26439727274
"OPTOTRAK _ P77 _ Right _ 3",88.5440239414974,-375.842243720204,-2542.09658173489,155.843799096306,-319.553873433581,-2553.23878572715
"OPTOTRAK _ P77 _ Right _ 3",88.4878377833599,-375.800337100013,-2542.04728660131,155.724963459364,-319.528350727823,-2553.20746321114
"OPTOTRAK _ P77 _ Right _ 3",88.4340347291038,-375.767967677876,-2542.00357824746,155.602696175661,-319.503280571515,-2553.17072677924
"OPTOTRAK _ P77 _ Right _ 3",88.3858494330081,-375.747695456416,-2541.969261809,155.482829506622,-319.479684680989,-2553.1302372481
"OPTOTRAK _ P77 _ Right _ 3",88.3443226807965,-375.740334356423,-2541.94685953783,155.369826068677,-319.458490417017,-2553.08885013288
"OPTOTRAK _ P77 _ Right _ 3",88.3082369430114,-375.744672341565,-2541.93701852084,155.266244695868,-319.440321296989,-2553.05002594052
"OPTOTRAK _ P77 _ Right _ 3",88.2746218270385,-375.757658952473,-2541.93830187502,155.172602931619,-319.425325726522,-2553.01701144522
"OPTOTRAK _ P77 _ Right _ 3",88.239696130214,-375.775047570612,-2541.94748786667,155.087611352973,-319.413100069505,-2552.99205399931
"OPTOTRAK _ P77 _ Right _ 3",88.2000269621691,-375.79229834426,-2541.96031458492,155.008750086793,-319.402715932571,-2552.97586140607
"OPTOTRAK _ P77 _ Right _ 3",88.1536379671352,-375.805443977484,-2541.97242850914,154.933122180267,-319.392825504753,-2552.9674039702
"OPTOTRAK _ P77 _ Right _ 3",88.1007902505123,-375.811662447397,-2541.98022464782,154.858419826468,-319.381809636051,-2552.96404453441
"OPTOTRAK _ P77 _ Right _ 3",88.0442110643024,-375.809459265017,-2541.98133615244,154.78374324006,-319.367945814557,-2552.9619180826
